id,title,resolved,from,evidence
ea_landmine_lateral_raise,Landmine Lateral Raise,Landmine,title,landmine
ea_landmine_lunge_to_overhead_press,Landmine Lunge to Overhead Press,Landmine,title,landmine
ea_landmine_lying_tricep_extension,Landmine Lying Tricep Extension,Landmine,title,landmine
ea_landmine_oblique_twist,Landmine Oblique Twist,Landmine,title,landmine
ea_landmine_overhead_press,Landmine Overhead Press,Landmine,title,landmine
ea_landmine_romanian_deadlift,Landmine Romanian Deadlift,Landmine,title,landmine
ea_landmine_rotational_lift_to_press,Landmine Rotational Lift to Press,Landmine,title,landmine
ea_landmine_russian_twist,Landmine Russian Twist,Landmine,title,landmine
ea_landmine_seated_alternating_overhead_press,Landmine Seated Alternating Overhead Press,Landmine,title,landmine
ea_landmine_seated_overhead_press,Landmine Seated Overhead Press,Landmine,title,landmine
ea_landmine_seated_single_arm_overhead_press,Landmine Seated Single Arm Overhead Press,Landmine,title,landmine
ea_landmine_single_arm_push_press,Landmine Single Arm Push Press,Landmine,title,landmine
ea_landmine_single_arm_staggered_overhead_press,Landmine Single Arm Staggered Overhead Press,Landmine,title,landmine
ea_landmine_squat_and_press,Landmine Squat and Press,Landmine,title,landmine
ea_lateral_band_walks,Lateral Band Walks,Resistance Band,title,band
ea_lateral_box_jump,Lateral Box Jump,Plyo Box,title,box
ea_lateral_raises_dumbbell_seated_with_swing,Lateral Raises Dumbbell Seated with Swing,Dumbbells,title,dumbbell
ea_lateral_sled_drag,Lateral Sled Drag,Sled,title,sled
ea_lats_stretch_elbow_on_wall,Lats Stretch Elbow on Wall,Wall,title,wall
ea_lats_stretch_on_wall,Lats Stretch on Wall,Wall,title,wall
ea_lawnmower_row,Lawnmower Row,Dumbbells,frame,read from the clip's own still
ea_laying_lateral_raise,Laying Lateral Raise,Dumbbells,frame,read from the clip's own still
ea_long_lever_plank,Long Lever Plank,None (Bodyweight),frame,read from the clip's own still
ea_lord_of_the_dance,Lord of the Dance,None (Bodyweight),frame,read from the clip's own still
ea_low_box_lateral_runner,Low Box Lateral Runner,Plyo Box,title,box
ea_low_box_quick_feet,Low Box Quick Feet,Plyo Box,title,box
ea_low_rotational_med_ball_chops_quarter_squat_rotating_med_ball_left_and_ride_across_core,"Low Rotational Med Ball Chops (quarter Squat, Rotating Med Ball Left and Ride Across Core)",Exercise Ball,title,ball
ea_low_sled_push,Low Sled Push,Sled,title,sled
ea_lying_bent_knee_cross_glutes_stretch,Lying Bent Knee Cross Glutes Stretch,None (Bodyweight),frame,read from the clip's own still
ea_lying_face_down_quadriceps_stretch,Lying Face Down Quadriceps Stretch,None (Bodyweight),frame,read from the clip's own still
ea_lying_knee_hugs_lower_back_stretch,Lying Knee Hugs Lower Back Stretch,None (Bodyweight),frame,read from the clip's own still
ea_lying_knee_pull_glutes_stretch,Lying Knee Pull Glutes Stretch,None (Bodyweight),frame,read from the clip's own still
ea_lying_knees_to_floor_lower_back_stretch,Lying Knees to Floor Lower Back Stretch,None (Bodyweight),frame,read from the clip's own still
ea_lying_neck_curls,Lying Neck Curls,Bench,frame,read from the clip's own still
ea_lying_neck_extension,Lying Neck Extension,None (Bodyweight),frame,read from the clip's own still
ea_lying_on_side_arm_circle_warm_up,Lying on Side Arm Circle Warm Up,None (Bodyweight),frame,read from the clip's own still
ea_lying_single_leg_extended_on_wall_hamstrings_stretch,Lying Single Leg Extended on Wall Hamstrings Stretch,Wall,title,wall
ea_med_ball_front_squat_raise,Med Ball Front Squat Raise,Exercise Ball,title,ball
ea_med_ball_half_kneeling_wood_choppers,Med Ball Half Kneeling Wood Choppers,Exercise Ball,title,ball
ea_med_ball_jumping_jacks,Med Ball Jumping Jacks,Exercise Ball,title,ball
ea_med_ball_side_wall_slams,Med Ball Side Wall Slams,Wall,title,wall
ea_med_ball_slam_burpees,Med Ball Slam Burpees,Exercise Ball,title,ball
ea_med_ball_toe_touches,Med Ball Toe Touches,Exercise Ball,title,ball
ea_medicine_ball_chest_throw_with_abs,Medicine Ball Chest Throw with Abs,Medicine Ball,title,medicine ball
ea_medicine_ball_jumps,Medicine Ball Jumps,Medicine Ball,title,medicine ball
ea_medicine_ball_rotational_throw,Medicine Ball Rotational Throw,Medicine Ball,title,medicine ball
ea_monkey_bar_swings,Monkey Bar Swings,Barbell,title,bar
ea_monkey_pose,Monkey Pose,None (Bodyweight),frame,read from the clip's own still
ea_mountain_climber_jumps,Mountain Climber Jumps,None (Bodyweight),frame,read from the clip's own still
ea_multi_hip_adduction,Multi Hip Adduction,Machine,frame,read from the clip's own still
ea_narrow_stance_heels_elevated_dumbbell_goblet_squats,Narrow Stance Heels Elevated Dumbbell Goblet Squats,Dumbbells,title,dumbbell
ea_nordic_hamstring_curl_with_partner,Nordic Hamstring Curl with Partner,A Partner,title,partner
ea_normal_push_up,Normal Push-up,None (Bodyweight),frame,read from the clip's own still
ea_normal_squat_smith_machine,Normal Squat Smith Machine,Smith Machine,title,smith machine
ea_one_arm_cow_face_pose_easy,One Arm Cow Face Pose - Easy,None (Bodyweight),frame,read from the clip's own still
ea_one_arm_push_up,One Arm Push Up,None (Bodyweight),frame,read from the clip's own still
ea_overhead_med_ball_throw,Overhead Med Ball Throw,Exercise Ball,title,ball
ea_pec_deck_fly_machine_flies,Pec Deck Fly Machine Flies,Machine,title,machine
ea_pigeon_glutes_stretch,Pigeon Glutes Stretch,None (Bodyweight),frame,read from the clip's own still
ea_pigeon_pose,Pigeon Pose,None (Bodyweight),frame,read from the clip's own still
ea_pike_alternating_opposite_hip_taps,Pike Alternating Opposite Hip Taps,None (Bodyweight),frame,read from the clip's own still
ea_pike_individual_alternating_arm_reaches,Pike Individual Alternating Arm Reaches,None (Bodyweight),frame,read from the clip's own still
ea_pike_jacks_feet_kicking_in_and_out,Pike Jacks Feet Kicking in and Out,None (Bodyweight),frame,read from the clip's own still
ea_pike_shoulder_taps,Pike Shoulder Taps,None (Bodyweight),frame,read from the clip's own still
ea_pistol_squat_to_box,Pistol Squat to Box,Plyo Box,title,box
ea_plank_individual_arm_reach,Plank Individual Arm Reach,None (Bodyweight),frame,read from the clip's own still
ea_plank_iytw,Plank IYTW,Dumbbells,frame,read from the clip's own still
ea_plank_pushup,Plank Pushup,None (Bodyweight),frame,read from the clip's own still
ea_plate_alternating_deadstop_row,Plate Alternating Deadstop Row,Weight Plate,title,plate
ea_plate_car_driver,Plate Car Driver,Weight Plate,title,plate
ea_plate_clean,Plate Clean,Weight Plate,title,plate
ea_plate_clean_and_press,Plate Clean and Press,Weight Plate,title,plate
ea_plate_curl_to_overhead_press,Plate Curl to Overhead Press,Weight Plate,title,plate
ea_plate_curl_to_overhead_press_to_tricep_extension,Plate Curl to Overhead Press to Tricep Extension,Weight Plate,title,plate
ea_plate_curtsy_lunge,Plate Curtsy Lunge,Weight Plate,title,plate
ea_plate_deadlift,Plate Deadlift,Weight Plate,title,plate
ea_plate_deficit_lunge,Plate Deficit Lunge,Weight Plate,title,plate
ea_plate_deficit_pushup,Plate Deficit Pushup,Weight Plate,title,plate
ea_plate_forward_lunge,Plate Forward Lunge,Weight Plate,title,plate
ea_plate_full_front_raise,Plate Full Front Raise,Weight Plate,title,plate
ea_plate_glute_bridge_to_chest_press,Plate Glute Bridge to Chest Press,Weight Plate,title,plate
ea_plate_glute_bridge_to_pullover,Plate Glute Bridge to Pullover,Weight Plate,title,plate
ea_plate_good_morning,Plate Good Morning,Weight Plate,title,plate
ea_plate_good_morning_anterior,Plate Good Morning Anterior,Weight Plate,title,plate
ea_plate_halo,Plate Halo,Weight Plate,title,plate
ea_plate_hollow_hold,Plate Hollow Hold,Weight Plate,title,plate
ea_plate_internally_rotated_rear_delt_fly,Plate Internally Rotated Rear Delt Fly,Weight Plate,title,plate
ea_plate_lateral_lunge,Plate Lateral Lunge,Weight Plate,title,plate
ea_plate_lateral_raise,Plate Lateral Raise,Weight Plate,title,plate
ea_plate_overhead_carry,Plate Overhead Carry,Weight Plate,title,plate
ea_plate_overhead_press_to_tricep_extension,Plate Overhead Press to Tricep Extension,Weight Plate,title,plate
ea_plate_overhead_shrug,Plate Overhead Shrug,Weight Plate,title,plate
ea_plate_overhead_tricep_extension,Plate Overhead Tricep Extension,Weight Plate,title,plate
ea_plate_overhead_walking_lunge,Plate Overhead Walking Lunge,Weight Plate,title,plate
ea_plate_pinch_grip_deadlift,Plate Pinch Grip Deadlift,Weight Plate,title,plate
ea_plate_pinch_grip_row,Plate Pinch Grip Row,Weight Plate,title,plate
ea_plate_pinch_grip_side_bend,Plate Pinch Grip Side Bend,Weight Plate,title,plate
ea_plate_press,Plate Press,Weight Plate,title,plate
ea_plate_reach,Plate Reach,Weight Plate,title,plate
ea_plate_rear_delt_fly,Plate Rear Delt Fly,Weight Plate,title,plate
ea_plate_russian_twist,Plate Russian Twist,Weight Plate,title,plate
ea_plate_single_leg_deadlift,Plate Single Leg Deadlift,Weight Plate,title,plate
ea_plate_single_leg_pinch_grip_deadlift,Plate Single Leg Pinch Grip Deadlift,Weight Plate,title,plate
ea_plate_situp,Plate Situp,Weight Plate,title,plate
ea_plate_squat_hold,Plate Squat Hold,Weight Plate,title,plate
ea_plate_squat_hold_biceps_curl,Plate Squat Hold Biceps Curl,Weight Plate,title,plate
ea_plate_squat_hold_reach,Plate Squat Hold Reach,Weight Plate,title,plate
ea_plate_squat_reach,Plate Squat Reach,Weight Plate,title,plate
ea_plate_staggered_deadlift,Plate Staggered Deadlift,Weight Plate,title,plate
ea_plate_staggered_pinch_grip_deadlift,Plate Staggered Pinch Grip Deadlift,Weight Plate,title,plate
ea_plate_standing_twist,Plate Standing Twist,Weight Plate,title,plate
ea_plate_thruster,Plate Thruster,Weight Plate,title,plate
ea_plate_wood_chopper,Plate Wood Chopper,Weight Plate,title,plate
ea_pull_sled_or_dog_sled_push,Pull Sled or Dog Sled Push,Sled,title,sled
ea_puppy_pose,Puppy Pose,None (Bodyweight),frame,read from the clip's own still
ea_push_pull_chair_over_head_pull,Push Pull Chair Over Head Pull,Machine,frame,read from the clip's own still
ea_push_pull_front_handle_push,Push Pull Front Handle Push,Machine,frame,read from the clip's own still
ea_pushup_to_renegade_row,Pushup to Renegade Row,Dumbbells,frame,read from the clip's own still
ea_pyramid_pose_parsvottanasana,Pyramid Pose - Parsvottanasana,None (Bodyweight),frame,read from the clip's own still
ea_pyramid_pose_blocks,Pyramid Pose Blocks,Yoga Block,title,block
ea_pyramid_pose_calf_blocks,Pyramid Pose Calf Blocks,Yoga Block,title,block
ea_pyramid_prayer,Pyramid Prayer,Bench,frame,read from the clip's own still
ea_rebounder_high_knee_runs,Rebounder High Knee Runs,Mini Trampoline,title,rebounder
ea_rebounder_in_out_from_ground,Rebounder in & Out From Ground,Mini Trampoline,title,rebounder
ea_rebounder_in_out_jacks,Rebounder in & Out Jacks,Mini Trampoline,title,rebounder
ea_rebounder_knee_jumps,Rebounder Knee Jumps,Mini Trampoline,title,rebounder
ea_rebounder_knee_pushes,Rebounder Knee Pushes,Mini Trampoline,title,rebounder
ea_rebounder_light_jumps,Rebounder Light Jumps,Mini Trampoline,title,rebounder
ea_reclining_pigeon_pose,Reclining Pigeon Pose,None (Bodyweight),frame,read from the clip's own still
ea_resistance_band_assisted_push_up,Resistance Band Assisted Push-up,Resistance Band,title,resistance band
ea_restful_cow_face_pose_legs,Restful Cow Face Pose Legs,None (Bodyweight),frame,read from the clip's own still
ea_reverse_curl_barbell,Reverse Curl Barbell,Barbell,title,barbell
ea_reverse_plank,Reverse Plank,None (Bodyweight),frame,read from the clip's own still
ea_reverse_prayer,Reverse Prayer,None (Bodyweight),frame,read from the clip's own still
ea_revolved_head_to_knee,Revolved Head to Knee,None (Bodyweight),frame,read from the clip's own still
ea_revolved_side_angle_pose_with_prayer_hands,Revolved Side Angle Pose with Prayer Hands,None (Bodyweight),frame,read from the clip's own still
ea_revolved_side_angle_pose_with_prayer_hands_beginner,Revolved Side Angle Pose with Prayer Hands Beginner,None (Bodyweight),frame,read from the clip's own still
ea_ring_dips,Ring Dips,Gymnastic Rings,frame,read from the clip's own still
ea_runners_lunge,Runners Lunge,None (Bodyweight),frame,read from the clip's own still
ea_sandbag_cleans,Sandbag Cleans,Sandbag,title,sandbag
ea_scorpion_twist_pose,Scorpion Twist Pose,None (Bodyweight),frame,read from the clip's own still
ea_seated_dumbbell_neutral_grip_front_raises,Seated Dumbbell Neutral Grip Front Raises,Dumbbells,title,dumbbell
ea_seated_dumbbell_neutral_grip_side_raises,Seated Dumbbell Neutral Grip Side Raises,Dumbbells,title,dumbbell
ea_seated_figure_four_with_twist_glute_stretch,Seated Figure Four with Twist Glute Stretch,None (Bodyweight),frame,read from the clip's own still
ea_seated_row_machine_rows,Seated Row Machine Rows,Machine,title,machine
ea_seated_single_leg_toe_touch_hamstring_stretch,Seated Single Leg Toe Touch Hamstring Stretch,None (Bodyweight),frame,read from the clip's own still
ea_seated_toe_touch_hamstrings_stretch,Seated Toe Touch Hamstrings Stretch,None (Bodyweight),frame,read from the clip's own still
ea_side_bend_standing_lats_stretch,Side Bend Standing Lats Stretch,None (Bodyweight),frame,read from the clip's own still
ea_side_chest_stretch_on_wall,Side Chest Stretch on Wall,Wall,title,wall
ea_side_lying_parsva_savasana_variation,Side Lying Parsva Savasana Variation,None (Bodyweight),frame,read from the clip's own still
ea_side_plank_oblique_crunch,Side Plank Oblique Crunch,None (Bodyweight),frame,read from the clip's own still
ea_single_arm_extended_pull_downwards_biceps_stretch,Single Arm Extended Pull Downwards Biceps Stretch,None (Bodyweight),frame,read from the clip's own still
ea_single_arm_on_wall_side_biceps_stretch,Single Arm on Wall Side Biceps Stretch,Wall,title,wall
ea_single_arm_palm_down_on_wall_biceps_stretch,Single Arm Palm Down on Wall Biceps Stretch,Wall,title,wall
ea_single_dumbbell_biceps_curls,Single Dumbbell Biceps Curls,Dumbbells,title,dumbbell
ea_single_kettlebell_sled_push,Single Kettlebell Sled Push,Kettlebells,title,kettlebell
ea_sissy_squat_bodyweight,Sissy Squat Bodyweight,Bench,frame,read from the clip's own still
ea_skater_hops,Skater Hops,None (Bodyweight),frame,read from the clip's own still
ea_sled_battle_rope_pull,Sled Battle Rope Pull,Battle Ropes,title,battle rope
ea_sled_drag_and_row,Sled Drag and Row,Sled,title,sled
ea_smith_machine_narrow_stance_heels_elevated_squats,Smith Machine Narrow Stance Heels Elevated Squats,Smith Machine,title,smith machine
ea_standing_cable_hip_flexion,Standing Cable Hip Flexion,Cable Pulley Machine,title,cable
ea_standing_straight_leg_hamstring_stretch,Standing Straight-leg Hamstring Stretch,None (Bodyweight),frame,read from the clip's own still
ea_stepmill_machine_steps,Stepmill Machine Steps,Machine,title,machine
ea_straight_arm_cable_lat_pull_down,Straight Arm Cable Lat Pull Down,Cable Pulley Machine,title,cable
ea_suspension_trainer_with_grips_inverted_row_on_floor,Suspension Trainer with Grips Inverted Row on Floor,Suspension Trainer,title,suspension trainer
ea_suspension_trainer_with_grips_wide_grip_inverted_row_on_floor_1,Suspension Trainer with Grips Wide Grip Inverted Row on Floor_1,Suspension Trainer,title,suspension trainer
ea_tennis_forehand_ground_stroke,Tennis Forehand Ground Stroke,None (Bodyweight),frame,read from the clip's own still
ea_the_wall_ball,The Wall Ball,Wall,title,wall
ea_theraband_scapula_retraction,Theraband Scapula Retraction,Resistance Band,title,band
ea_treadmill_walk,Treadmill Walk,Treadmill,title,treadmill
ea_tricep_rope_extension_on_crossover_machine,Tricep Rope Extension on Crossover Machine,Machine,title,machine
ea_tyre_flip,Tyre Flip,Tyre,title,tyre
ea_tyre_hammering,Tyre Hammering,Tyre,title,tyre
ea_unilateral_box_jump,Unilateral Box Jump,Plyo Box,title,box
ea_unilateral_box_jump_bilateral_deceleration,Unilateral Box Jump - Bilateral Deceleration,Plyo Box,title,box
ea_unilateral_front_plank,Unilateral Front Plank,None (Bodyweight),frame,read from the clip's own still
ea_unilateral_jumps,Unilateral Jumps,None (Bodyweight),frame,read from the clip's own still
ea_unilateral_plank,Unilateral Plank,None (Bodyweight),frame,read from the clip's own still
ea_upper_back_stretch,Upper Back Stretch,None (Bodyweight),frame,read from the clip's own still
ea_weighted_back_extensions_on_hyperextension_bench,Weighted Back Extensions on Hyperextension Bench,Bench,title,bench
ea_wild_thing_pose,Wild Thing Pose,None (Bodyweight),frame,read from the clip's own still
ea_yoga_flow_sequences_sun_salutations,Yoga Flow Sequences Sun Salutations,None (Bodyweight),frame,read from the clip's own still
