n,id,title,vendorGroup,muscles,equipmentLabel,hasVideo
265,ea_dumbbell_alternating_arnold_press,Dumbbell Alternating Arnold Press,Shoulders,shoulders,Dumbbells,True
266,ea_dumbbell_chest_supported_y_raise,Dumbbell Chest Supported Y Raise,Shoulders,shoulders,Dumbbells,True
267,ea_dumbbell_laying_30_degree_shrug,Dumbbell Laying 30 Degree Shrug,Shoulders,shoulders,Dumbbells,True
268,ea_dumbbell_laying_silverback_shrug,Dumbbell Laying Silverback Shrug,Shoulders,shoulders,Dumbbells,True
269,ea_dumbbell_plank_pullthrough,Dumbbell Plank Pullthrough,Shoulders,shoulders,Dumbbells,True
270,ea_dumbbell_shoulder_extension,Dumbbell Shoulder Extension,Shoulders,shoulders,Dumbbells,True
271,ea_dumbbell_silverback_shrug,Dumbbell Silverback Shrug,Shoulders,shoulders,Dumbbells,True
272,ea_dumbbell_single_arm_upright_row,Dumbbell Single Arm Upright Row,Shoulders,shoulders,Dumbbells,True
273,ea_elevated_pike_shoulder_shrug,Elevated Pike Shoulder Shrug,Shoulders,shoulders,Plyo Box,True
274,ea_kettlebell_front_raise,Kettlebell Front Raise,Shoulders,shoulders,Kettlebells,True
275,ea_kettlebell_incline_shrug,Kettlebell Incline Shrug,Shoulders,shoulders,Kettlebells,True
276,ea_kettlebell_long_lever_lateral_raise,Kettlebell Long Lever Lateral Raise,Shoulders,shoulders,Kettlebells,True
277,ea_kettlebell_rear_delt_row,Kettlebell Rear Delt Row,Shoulders,shoulders,Kettlebells,True
278,ea_kettlebell_shoulder_extension,Kettlebell Shoulder Extension,Shoulders,shoulders,Kettlebells,True
279,ea_kettlebell_shrug,Kettlebell Shrug,Shoulders,shoulders,Kettlebells,True
280,ea_kettlebell_silverback_shrug,Kettlebell Silverback Shrug,Shoulders,shoulders,Kettlebells,True
281,ea_kettlebell_single_arm_lateral_raise,Kettlebell Single Arm Lateral Raise,Shoulders,shoulders,Kettlebells,True
282,ea_kettlebell_single_arm_rear_delt_fly,Kettlebell Single Arm Rear Delt Fly,Shoulders,shoulders,Kettlebells,True
283,ea_kettlebell_upright_row,Kettlebell Upright Row,Shoulders,shoulders,Kettlebells,True
284,ea_landmine_alternating_single_arm_press,Landmine Alternating Single Arm Press,Shoulders,shoulders,Landmine,True
285,ea_landmine_half_kneeling_single_arm_overhead_press,Landmine Half Kneeling Single Arm Overhead Press,Shoulders,shoulders,Landmine,True
286,ea_landmine_kneeling_alternating_overhead_press,Landmine Kneeling Alternating Overhead Press,Shoulders,shoulders,Landmine,True
287,ea_landmine_kneeling_overhead_press,Landmine Kneeling Overhead Press,Shoulders,shoulders,Landmine,True
288,ea_landmine_lateral_raise,Landmine Lateral Raise,Shoulders,shoulders,Landmine,True
289,ea_landmine_overhead_press,Landmine Overhead Press,Shoulders,shoulders,Landmine,True
290,ea_landmine_seated_alternating_overhead_press,Landmine Seated Alternating Overhead Press,Shoulders,shoulders,Landmine,True
291,ea_landmine_seated_overhead_press,Landmine Seated Overhead Press,Shoulders,shoulders,Landmine,True
292,ea_landmine_seated_single_arm_overhead_press,Landmine Seated Single Arm Overhead Press,Shoulders,shoulders,Landmine,True
293,ea_landmine_single_arm_push_press,Landmine Single Arm Push Press,Shoulders,shoulders,Landmine,True
294,ea_landmine_single_arm_staggered_overhead_press,Landmine Single Arm Staggered Overhead Press,Shoulders,shoulders,Landmine,True
295,ea_laying_lateral_raise,Laying Lateral Raise,Shoulders,shoulders,Dumbbells,True
296,ea_plate_car_driver,Plate Car Driver,Shoulders,shoulders,Weight Plate,True
297,ea_plate_full_front_raise,Plate Full Front Raise,Shoulders,shoulders,Weight Plate,True
298,ea_plate_halo,Plate Halo,Shoulders,shoulders,Weight Plate,True
299,ea_plate_internally_rotated_rear_delt_fly,Plate Internally Rotated Rear Delt Fly,Shoulders,shoulders,Weight Plate,True
300,ea_plate_lateral_raise,Plate Lateral Raise,Shoulders,shoulders,Weight Plate,True
301,ea_plate_overhead_press_to_tricep_extension,Plate Overhead Press to Tricep Extension,Shoulders,shoulders,Weight Plate,True
302,ea_plate_overhead_shrug,Plate Overhead Shrug,Shoulders,shoulders,Weight Plate,True
303,ea_plate_reach,Plate Reach,Shoulders,shoulders,Weight Plate,True
304,ea_plate_rear_delt_fly,Plate Rear Delt Fly,Shoulders,shoulders,Weight Plate,True
305,ea_seated_dumbbell_neutral_grip_front_raises,Seated Dumbbell Neutral Grip Front Raises,Shoulders,shoulders,Dumbbells,True
306,ea_seated_dumbbell_neutral_grip_side_raises,Seated Dumbbell Neutral Grip Side Raises,Shoulders,shoulders,Dumbbells,True
307,ea_suspension_trainer_with_grips_inverted_row_on_floor,Suspension Trainer with Grips Inverted Row on Floor,Shoulders,shoulders,Suspension Trainer,True
308,ea_arms_behind_back_chest_stretch,Arms Behind Back Chest Stretch,Stretching - Mobility,,None (Bodyweight),True
309,ea_arms_wide_chest_stretch,Arms Wide Chest Stretch,Stretching - Mobility,,None (Bodyweight),True
310,ea_both_arms_behind_on_wall_biceps_stretch,Both Arms Behind on Wall Biceps Stretch,Stretching - Mobility,,Wall,True
311,ea_bulgarian_split_squat_stretch,Bulgarian Split Squat Stretch,Stretching - Mobility,,Wall,True
312,ea_calf_push_stretch_with_hands_against_wall_v_2,Calf Push Stretch with Hands Against Wall V.2,Stretching - Mobility,,Wall,True
313,ea_calve_stretch_foot_on_wall,Calve Stretch Foot on Wall,Stretching - Mobility,,Wall,True
314,ea_calve_stretch_from_wall_to_floor,Calve Stretch From Wall to Floor,Stretching - Mobility,,Wall,True
315,ea_calves_stretch_on_step,Calves Stretch on Step,Stretching - Mobility,,Plyo Box,True
316,ea_child_pose_lower_back_stretch,Child Pose Lower Back Stretch,Stretching - Mobility,,None (Bodyweight),True
317,ea_cobra_stretch,Cobra Stretch,Stretching - Mobility,,None (Bodyweight),True
318,ea_crescent_moon_pose_quad_stretch,Crescent Moon Pose Quad Stretch,Stretching - Mobility,,None (Bodyweight),True
319,ea_crescent_moon_pose_quad_stretch_with_block,Crescent Moon Pose Quad Stretch with Block,Stretching - Mobility,,Yoga Block,True
320,ea_cross_body_elbow_pull_shoulder_stretch,Cross Body Elbow Pull Shoulder Stretch,Stretching - Mobility,,None (Bodyweight),True
321,ea_cross_body_shoulder_stretch,Cross Body Shoulder Stretch,Stretching - Mobility,,None (Bodyweight),True
322,ea_foam_roller_back,Foam Roller Back,Stretching - Mobility,,Foam Roller,True
323,ea_foam_roller_calves,Foam Roller Calves,Stretching - Mobility,,Foam Roller,True
324,ea_foam_roller_lateral_quads,Foam Roller Lateral Quads,Stretching - Mobility,,Foam Roller,True
325,ea_foam_roller_quads,Foam Roller Quads-,Stretching - Mobility,,Foam Roller,True
326,ea_forearms_pull_with_opposite_hand_stretch,Forearms Pull with Opposite Hand Stretch,Stretching - Mobility,,None (Bodyweight),True
327,ea_forearms_stretch_on_wall,Forearms Stretch on Wall,Stretching - Mobility,,Wall,True
328,ea_forearms_stretch_on_wall_fingers_facing_down,Forearms Stretch on Wall Fingers Facing Down,Stretching - Mobility,,Wall,True
329,ea_half_neck_rolls,Half Neck Rolls,Stretching - Mobility,,None (Bodyweight),True
330,ea_hands_clapped_forearms_stretch,Hands Clapped Forearms Stretch,Stretching - Mobility,,None (Bodyweight),True
331,ea_lats_stretch_elbow_on_wall,Lats Stretch Elbow on Wall,Stretching - Mobility,,Wall,True
332,ea_lats_stretch_on_wall,Lats Stretch on Wall,Stretching - Mobility,,Wall,True
333,ea_lying_bent_knee_cross_glutes_stretch,Lying Bent Knee Cross Glutes Stretch,Stretching - Mobility,,None (Bodyweight),True
334,ea_lying_face_down_quadriceps_stretch,Lying Face Down Quadriceps Stretch,Stretching - Mobility,,None (Bodyweight),True
335,ea_lying_knee_hugs_lower_back_stretch,Lying Knee Hugs Lower Back Stretch,Stretching - Mobility,,None (Bodyweight),True
336,ea_lying_knee_pull_glutes_stretch,Lying Knee Pull Glutes Stretch,Stretching - Mobility,,None (Bodyweight),True
337,ea_lying_knees_to_floor_lower_back_stretch,Lying Knees to Floor Lower Back Stretch,Stretching - Mobility,,None (Bodyweight),True
338,ea_lying_single_leg_extended_on_wall_hamstrings_stretch,Lying Single Leg Extended on Wall Hamstrings Stretch,Stretching - Mobility,,Wall,True
339,ea_revolved_head_to_knee,Revolved Head to Knee,Stretching - Mobility,,None (Bodyweight),True
340,ea_seated_figure_four_with_twist_glute_stretch,Seated Figure Four with Twist Glute Stretch,Stretching - Mobility,,None (Bodyweight),True
341,ea_seated_single_leg_toe_touch_hamstring_stretch,Seated Single Leg Toe Touch Hamstring Stretch,Stretching - Mobility,,None (Bodyweight),True
342,ea_seated_toe_touch_hamstrings_stretch,Seated Toe Touch Hamstrings Stretch,Stretching - Mobility,,None (Bodyweight),True
343,ea_side_bend_standing_lats_stretch,Side Bend Standing Lats Stretch,Stretching - Mobility,,None (Bodyweight),True
344,ea_side_chest_stretch_on_wall,Side Chest Stretch on Wall,Stretching - Mobility,,Wall,True
345,ea_single_arm_extended_pull_downwards_biceps_stretch,Single Arm Extended Pull Downwards Biceps Stretch,Stretching - Mobility,,None (Bodyweight),True
346,ea_single_arm_palm_down_on_wall_biceps_stretch,Single Arm Palm Down on Wall Biceps Stretch,Stretching - Mobility,,Wall,True
347,ea_single_arm_on_wall_side_biceps_stretch,Single Arm on Wall Side Biceps Stretch,Stretching - Mobility,,Wall,True
348,ea_standing_straight_leg_hamstring_stretch,Standing Straight-leg Hamstring Stretch,Stretching - Mobility,,None (Bodyweight),True
349,ea_band_lying_press_down,Band Lying Press Down,Triceps,triceps,Resistance Band,True
350,ea_band_skullcrusher,Band Skullcrusher,Triceps,triceps,Resistance Band,True
351,ea_band_triceps_pushdown_single_arm,Band Triceps Pushdown Single Arm,Triceps,triceps,Resistance Band,True
352,ea_cable_cross_pushdown,Cable Cross Pushdown,Triceps,triceps,Cable Pulley Machine,True
353,ea_dumbbell_skullcrusher,Dumbbell Skullcrusher,Triceps,triceps,Dumbbells,True
354,ea_floor_tricep_dip,Floor Tricep Dip,Triceps,triceps,None (Bodyweight),True
355,ea_kettlebell_decline_skull_crusher,Kettlebell Decline Skull Crusher,Triceps,triceps,Kettlebells,True
356,ea_kettlebell_skull_crusher,Kettlebell Skull Crusher,Triceps,triceps,Kettlebells,True
357,ea_kettlebell_standing_tricep_extension,Kettlebell Standing Tricep Extension,Triceps,triceps,Kettlebells,True
358,ea_landmine_lying_tricep_extension,Landmine Lying Tricep Extension,Triceps,triceps,Landmine,True
359,ea_plate_curl_to_overhead_press_to_tricep_extension,Plate Curl to Overhead Press to Tricep Extension,Triceps,triceps,Weight Plate,True
360,ea_plate_overhead_tricep_extension,Plate Overhead Tricep Extension,Triceps,triceps,Weight Plate,True
361,ea_tricep_rope_extension_on_crossover_machine,Tricep Rope Extension on Crossover Machine,Triceps,triceps,Machine,True
362,ea_bow_pose,Bow Pose,Yoga,,None (Bodyweight),True
363,ea_cat_pose,Cat Pose,Yoga,,None (Bodyweight),True
364,ea_chair_pose,Chair Pose,Yoga,,None (Bodyweight),True
365,ea_child_pose_arms_extended_left_right,Child Pose Arms Extended Left Right,Yoga,,None (Bodyweight),True
366,ea_child_pose_arms_on_side,Child Pose Arms on Side,Yoga,,None (Bodyweight),True
367,ea_child_pose_elbows_on_block,Child Pose Elbows on Block,Yoga,,Yoga Block,True
368,ea_crescent_moon_pose,Crescent Moon Pose,Yoga,,None (Bodyweight),True
369,ea_criss_cross_bow_tie_pose,Criss Cross Bow Tie Pose,Yoga,,None (Bodyweight),True
370,ea_crow_pose,Crow Pose,Yoga,,None (Bodyweight),True
371,ea_double_pigeon_pose,Double Pigeon Pose,Yoga,,None (Bodyweight),True
372,ea_downward_dog_toe_to_heel,Downward Dog Toe to Heel,Yoga,,None (Bodyweight),True
373,ea_downward_dog_with_fingers_facing_feet,Downward Dog with Fingers Facing Feet,Yoga,,None (Bodyweight),True
374,ea_eagle_arms_chin_into_chest,Eagle Arms Chin Into Chest,Yoga,,None (Bodyweight),True
375,ea_easy_pose_neck_stretch,Easy Pose Neck Stretch,Yoga,,None (Bodyweight),True
376,ea_easy_seated_twist_pose,Easy Seated Twist Pose,Yoga,,None (Bodyweight),True
377,ea_extended_side_angle_pose,Extended Side Angle Pose,Yoga,,None (Bodyweight),True
378,ea_extended_side_angle_pose_with_block,Extended Side Angle Pose with Block,Yoga,,Yoga Block,True
379,ea_gate_pose_rounding_spine_looking_up,Gate Pose Rounding Spine Looking Up,Yoga,,None (Bodyweight),True
380,ea_gate_pose_variation_arm_extended_on_side,Gate Pose Variation Arm Extended on Side,Yoga,,None (Bodyweight),True
381,ea_half_lotus,Half Lotus,Yoga,,None (Bodyweight),True
382,ea_half_monkey_pose,Half Monkey Pose,Yoga,,None (Bodyweight),True
383,ea_happy_baby,Happy Baby,Yoga,,None (Bodyweight),True
384,ea_lord_of_the_dance,Lord of the Dance,Yoga,,None (Bodyweight),True
385,ea_monkey_pose,Monkey Pose,Yoga,,None (Bodyweight),True
386,ea_one_arm_cow_face_pose_easy,One Arm Cow Face Pose - Easy,Yoga,,None (Bodyweight),True
387,ea_pigeon_glutes_stretch,Pigeon Glutes Stretch,Yoga,,None (Bodyweight),True
388,ea_pigeon_pose,Pigeon Pose,Yoga,,None (Bodyweight),True
389,ea_puppy_pose,Puppy Pose,Yoga,,None (Bodyweight),True
390,ea_pyramid_pose_parsvottanasana,Pyramid Pose - Parsvottanasana,Yoga,,None (Bodyweight),True
391,ea_pyramid_pose_blocks,Pyramid Pose Blocks,Yoga,,Yoga Block,True
392,ea_pyramid_pose_calf_blocks,Pyramid Pose Calf Blocks,Yoga,,Yoga Block,True
393,ea_pyramid_prayer,Pyramid Prayer,Yoga,,Bench,True
394,ea_reclining_pigeon_pose,Reclining Pigeon Pose,Yoga,,None (Bodyweight),True
395,ea_restful_cow_face_pose_legs,Restful Cow Face Pose Legs,Yoga,,None (Bodyweight),True
396,ea_reverse_prayer,Reverse Prayer,Yoga,,None (Bodyweight),True
397,ea_revolved_side_angle_pose_with_prayer_hands,Revolved Side Angle Pose with Prayer Hands,Yoga,,None (Bodyweight),True
398,ea_revolved_side_angle_pose_with_prayer_hands_beginner,Revolved Side Angle Pose with Prayer Hands Beginner,Yoga,,None (Bodyweight),True
399,ea_runners_lunge,Runners Lunge,Yoga,,None (Bodyweight),True
400,ea_scorpion_twist_pose,Scorpion Twist Pose,Yoga,,None (Bodyweight),True
401,ea_side_lying_parsva_savasana_variation,Side Lying Parsva Savasana Variation,Yoga,,None (Bodyweight),True
402,ea_wild_thing_pose,Wild Thing Pose,Yoga,,None (Bodyweight),True
403,ea_yoga_flow_sequences_sun_salutations,Yoga Flow Sequences Sun Salutations,Yoga,,None (Bodyweight),True
